feature_type,property,property_short,feature,importance,n_labels,normalized_importance,feature_pretty
functional-group descriptor,ElectricalConductivity,EC,Cat: carbonyl,0.0,185,0.0,Cat: carbonyl
functional-group descriptor,ElectricalConductivity,EC,Cat: carboxylate,0.0,185,0.0,Cat: carboxylate
functional-group descriptor,ElectricalConductivity,EC,Cat: charged_atom_fraction,0.03226430714507965,185,0.039944685782064164,Cat: charged atom fraction
functional-group descriptor,ElectricalConductivity,EC,Cat: ester,0.0,185,0.0,Cat: ester
functional-group descriptor,ElectricalConductivity,EC,Cat: ether,0.0019845890837746696,185,0.0024570119234679786,Cat: ether
functional-group descriptor,ElectricalConductivity,EC,Cat: fluorinated_carbon,0.0,185,0.0,Cat: fluorinated carbon
functional-group descriptor,ElectricalConductivity,EC,Cat: halide_anion,0.0,185,0.0,Cat: halide anion
functional-group descriptor,ElectricalConductivity,EC,Cat: hbond_acceptor,0.004448110898925193,185,0.005506964441616345,Cat: H-bond acceptor
functional-group descriptor,ElectricalConductivity,EC,Cat: hbond_donor,0.002760436833911651,185,0.003417546871718659,Cat: H-bond donor
functional-group descriptor,ElectricalConductivity,EC,Cat: hetero_aromatic_atom,0.05360639291639264,185,0.06636716267690639,Cat: hetero aromatic atom
functional-group descriptor,ElectricalConductivity,EC,Cat: hexafluorophosphate,0.0,185,0.0,Cat: hexafluorophosphate
functional-group descriptor,ElectricalConductivity,EC,Cat: hydroxyl,0.0009913344036888432,185,0.0012273172667939848,Cat: hydroxyl
functional-group descriptor,ElectricalConductivity,EC,Cat: imidazolium_like,0.023659230688133755,185,0.029291208127709495,Cat: imidazolium like
functional-group descriptor,ElectricalConductivity,EC,Cat: longest_aliphatic_carbon_chain,0.07274954244934928,185,0.09006725608150423,Cat: longest aliphatic carbon chain
functional-group descriptor,ElectricalConductivity,EC,Cat: negative_atom_fraction,0.0,185,0.0,Cat: negative atom fraction
functional-group descriptor,ElectricalConductivity,EC,Cat: nitrile,0.001085236668586731,185,0.0013435725593283635,Cat: nitrile
functional-group descriptor,ElectricalConductivity,EC,Cat: nitro,0.0,185,0.0,Cat: nitro
functional-group descriptor,ElectricalConductivity,EC,Cat: phosphate,0.0,185,0.0,Cat: phosphate
functional-group descriptor,ElectricalConductivity,EC,Cat: phosphonium,0.00802935452477352,185,0.009940707608648746,Cat: phosphonium
functional-group descriptor,ElectricalConductivity,EC,Cat: positive_atom_fraction,0.03084331587510737,185,0.038185433692041984,Cat: positive atom fraction
functional-group descriptor,ElectricalConductivity,EC,Cat: pyridinium_like,0.004542528191656881,185,0.005623857362130697,Cat: pyridinium like
functional-group descriptor,ElectricalConductivity,EC,Cat: quaternary_ammonium,0.005584774755344198,185,0.0069142062082014535,Cat: quaternary ammonium
functional-group descriptor,ElectricalConductivity,EC,Cat: sulfate,0.0,185,0.0,Cat: sulfate
functional-group descriptor,ElectricalConductivity,EC,Cat: sulfonate,0.0,185,0.0,Cat: sulfonate
functional-group descriptor,ElectricalConductivity,EC,Cat: sulfonium,0.0,185,0.0,Cat: sulfonium
functional-group descriptor,ElectricalConductivity,EC,Cat: sulfonyl,0.0,185,0.0,Cat: sulfonyl
functional-group descriptor,ElectricalConductivity,EC,Cat: thioether,0.0,185,0.0,Cat: thioether
functional-group descriptor,ElectricalConductivity,EC,Pair: alkyl_chain_length_difference,0.061205941901819126,185,0.07577575139828419,Pair: alkyl chain length difference
functional-group descriptor,ElectricalConductivity,EC,Pair: alkyl_chain_length_sum,0.11532333770112412,185,0.14277555898214236,Pair: alkyl chain length sum
functional-group descriptor,ElectricalConductivity,EC,Pair: ammonium_halide_pair,0.0,185,0.0,Pair: ammonium halide pair
functional-group descriptor,ElectricalConductivity,EC,Pair: anion_hbd_cation_hba,8.833014289848507e-05,185,0.00010935675101589422,Pair: anion hbd cation hba
functional-group descriptor,ElectricalConductivity,EC,Pair: anion_positive_cation_negative,0.0,185,0.0,Pair: anion positive cation negative
functional-group descriptor,ElectricalConductivity,EC,Pair: cation_aromatic_anion_aromatic,0.0026663572049221477,185,0.0033010719943385018,Pair: cation aromatic anion aromatic
functional-group descriptor,ElectricalConductivity,EC,Pair: cation_ether_anion_hba,0.00017308923274253469,185,0.00021429237525757665,Pair: cation ether anion hba
functional-group descriptor,ElectricalConductivity,EC,Pair: cation_hbd_anion_hba,0.00033392051260012226,185,0.00041340884501317416,Pair: cation hbd anion hba
functional-group descriptor,ElectricalConductivity,EC,Pair: cation_hydroxyl_anion_hba,0.0001094020248667614,185,0.0001354447032621554,Pair: cation hydroxyl anion hba
functional-group descriptor,ElectricalConductivity,EC,Pair: cation_positive_anion_negative,0.006686621682240149,185,0.008278343025920282,Pair: cation positive anion negative
functional-group descriptor,ElectricalConductivity,EC,Pair: functional_group_dot,0.0001623169157274124,185,0.00020095575481260722,Pair: functional group dot
functional-group descriptor,ElectricalConductivity,EC,Pair: imidazolium_sulfonyl_pair,0.0006819447865898444,185,0.0008442787907566237,Pair: imidazolium sulfonyl pair
functional-group descriptor,ElectricalConductivity,EC,Pair: phosphonium_fluorinated_pair,0.0008253852761275059,185,0.001021864667844988,Pair: phosphonium fluorinated pair
functional-group descriptor,ElectricalConductivity,EC,Pair: total_carboxylate,0.006755237326630064,185,0.008363292327405809,Pair: total carboxylate
functional-group descriptor,ElectricalConductivity,EC,Pair: total_fluorinated_carbon,0.01904308642693355,185,0.02357621070937997,Pair: total fluorinated carbon
functional-group descriptor,ElectricalConductivity,EC,Pair: total_sulfonyl,0.014458725412653105,185,0.01790056240230317,Pair: total sulfonyl
functional-group descriptor,HeatCapacity,HC,Ani: amide,0.0,192,0.0,Ani: amide
functional-group descriptor,HeatCapacity,HC,Ani: aromatic_atom_fraction,0.0034279237831166634,192,0.0047751355428053,Ani: aromatic atom fraction
functional-group descriptor,HeatCapacity,HC,Ani: bis_sulfonimide,0.003349394039105391,192,0.004665742745438409,Ani: bis sulfonimide
functional-group descriptor,HeatCapacity,HC,Ani: borofluoride,0.007506120166605494,192,0.01045610797202071,Ani: borofluoride
functional-group descriptor,HeatCapacity,HC,Ani: branched_aliphatic_carbon_fraction,0.0027363035042071715,192,0.0038117008852987296,Ani: branched aliphatic carbon fraction
functional-group descriptor,HeatCapacity,HC,Ani: carbonyl,0.007933214137059016,192,0.011051054571614066,Ani: carbonyl
functional-group descriptor,HeatCapacity,HC,Ani: carboxylate,0.0034682757177506573,192,0.0048313462316895645,Ani: carboxylate
functional-group descriptor,HeatCapacity,HC,Ani: charged_atom_fraction,0.019406742978996288,192,0.02703380647653639,Ani: charged atom fraction
functional-group descriptor,HeatCapacity,HC,Ani: ester,0.0,192,0.0,Ani: ester
functional-group descriptor,HeatCapacity,HC,Ani: ether,0.0,192,0.0,Ani: ether
functional-group descriptor,HeatCapacity,HC,Ani: fluorinated_carbon,0.012694753366910541,192,0.017683931103732686,Ani: fluorinated carbon
functional-group descriptor,HeatCapacity,HC,Ani: halide_anion,0.00478804266701142,192,0.0066697961116647135,Ani: halide anion
functional-group descriptor,HeatCapacity,HC,Ani: hbond_acceptor,0.03522643523562389,192,0.0490708118332256,Ani: H-bond acceptor
functional-group descriptor,HeatCapacity,HC,Ani: hbond_donor,0.018421672051772475,192,0.025661591837477564,Ani: H-bond donor
functional-group descriptor,HeatCapacity,HC,Ani: hetero_aromatic_atom,0.0,192,0.0,Ani: hetero aromatic atom
functional-group descriptor,HeatCapacity,HC,Ani: hexafluorophosphate,0.007526474306359887,192,0.010484461512628331,Ani: hexafluorophosphate
functional-group descriptor,HeatCapacity,HC,Ani: hydroxyl,0.0020389346367058656,192,0.002840258380639625,Ani: hydroxyl
functional-group descriptor,HeatCapacity,HC,Ani: imidazolium_like,0.0,192,0.0,Ani: imidazolium like
functional-group descriptor,HeatCapacity,HC,Ani: longest_aliphatic_carbon_chain,0.008644205974330058,192,0.01204147402303798,Ani: longest aliphatic carbon chain
functional-group descriptor,HeatCapacity,HC,Ani: negative_atom_fraction,0.012782711515683332,192,0.017806457772660673,Ani: negative atom fraction
functional-group descriptor,HeatCapacity,HC,Ani: nitrile,0.0031368652162200306,192,0.004369687756984799,Ani: nitrile
functional-group descriptor,HeatCapacity,HC,Ani: nitro,0.0,192,0.0,Ani: nitro
functional-group descriptor,HeatCapacity,HC,Ani: phosphate,0.0002954360097646713,192,0.0004115456118949082,Ani: phosphate
functional-group descriptor,HeatCapacity,HC,Ani: phosphonium,0.0,192,0.0,Ani: phosphonium
functional-group descriptor,HeatCapacity,HC,Ani: positive_atom_fraction,0.0,192,0.0,Ani: positive atom fraction
functional-group descriptor,HeatCapacity,HC,Ani: pyridinium_like,0.0,192,0.0,Ani: pyridinium like
functional-group descriptor,HeatCapacity,HC,Ani: quaternary_ammonium,0.0,192,0.0,Ani: quaternary ammonium
functional-group descriptor,HeatCapacity,HC,Ani: sulfate,0.0007362029395020878,192,0.0010255387941962642,Ani: sulfate
functional-group descriptor,HeatCapacity,HC,Ani: sulfonate,0.0054523884124743445,192,0.0075952370440145,Ani: sulfonate
functional-group descriptor,HeatCapacity,HC,Ani: sulfonium,0.0,192,0.0,Ani: sulfonium
functional-group descriptor,HeatCapacity,HC,Ani: sulfonyl,0.007987503974921614,192,0.01112668091303614,Ani: sulfonyl
functional-group descriptor,HeatCapacity,HC,Ani: thioether,0.0,192,0.0,Ani: thioether
functional-group descriptor,HeatCapacity,HC,Cat: amide,0.0,192,0.0,Cat: amide
functional-group descriptor,HeatCapacity,HC,Cat: aromatic_atom_fraction,0.15073087513709046,192,0.2099697673589648,Cat: aromatic atom fraction
functional-group descriptor,HeatCapacity,HC,Cat: bis_sulfonimide,0.0,192,0.0,Cat: bis sulfonimide
functional-group descriptor,HeatCapacity,HC,Cat: borofluoride,0.0,192,0.0,Cat: borofluoride
functional-group descriptor,HeatCapacity,HC,Cat: branched_aliphatic_carbon_fraction,0.0016567780791471403,192,0.0023079100915958006,Cat: branched aliphatic carbon fraction
functional-group descriptor,HeatCapacity,HC,Cat: carbonyl,0.0,192,0.0,Cat: carbonyl
functional-group descriptor,HeatCapacity,HC,Cat: carboxylate,0.0,192,0.0,Cat: carboxylate
functional-group descriptor,HeatCapacity,HC,Cat: charged_atom_fraction,0.02688964465050958,192,0.03745757082945119,Cat: charged atom fraction
functional-group descriptor,HeatCapacity,HC,Cat: ester,0.0,192,0.0,Cat: ester
functional-group descriptor,HeatCapacity,HC,Cat: ether,0.000367033052801465,192,0.0005112810805329862,Cat: ether
functional-group descriptor,HeatCapacity,HC,Cat: fluorinated_carbon,0.0,192,0.0,Cat: fluorinated carbon
functional-group descriptor,HeatCapacity,HC,Cat: halide_anion,0.0,192,0.0,Cat: halide anion
functional-group descriptor,HeatCapacity,HC,Cat: hbond_acceptor,0.006032292304553266,192,0.00840304954559804,Cat: H-bond acceptor
functional-group descriptor,HeatCapacity,HC,Cat: hbond_donor,0.0026914086386871836,192,0.0037491618437103997,Cat: H-bond donor
functional-group descriptor,HeatCapacity,HC,Cat: hetero_aromatic_atom,0.03516977220958021,192,0.04899187961455822,Cat: hetero aromatic atom
functional-group descriptor,HeatCapacity,HC,Cat: hexafluorophosphate,0.0,192,0.0,Cat: hexafluorophosphate
functional-group descriptor,HeatCapacity,HC,Cat: hydroxyl,0.004549771265980477,192,0.006337881428642676,Cat: hydroxyl
functional-group descriptor,HeatCapacity,HC,Cat: imidazolium_like,0.01220308656108197,192,0.01699903383405215,Cat: imidazolium like
functional-group descriptor,HeatCapacity,HC,Cat: longest_aliphatic_carbon_chain,0.07248379955611502,192,0.10097073022530509,Cat: longest aliphatic carbon chain
functional-group descriptor,HeatCapacity,HC,Cat: negative_atom_fraction,0.0005224394068742791,192,0.0007277638414875417,Cat: negative atom fraction
functional-group descriptor,HeatCapacity,HC,Cat: nitrile,0.00016182585386559367,192,0.0002254251947911859,Cat: nitrile
functional-group descriptor,HeatCapacity,HC,Cat: nitro,0.0,192,0.0,Cat: nitro
functional-group descriptor,HeatCapacity,HC,Cat: phosphate,0.0,192,0.0,Cat: phosphate
functional-group descriptor,HeatCapacity,HC,Cat: phosphonium,0.007650498001263865,192,0.010657227884098694,Cat: phosphonium
functional-group descriptor,HeatCapacity,HC,Cat: positive_atom_fraction,0.022538999811028287,192,0.03139707470364729,Cat: positive atom fraction
functional-group descriptor,HeatCapacity,HC,Cat: pyridinium_like,0.0040751322521828115,192,0.00567670406059553,Cat: pyridinium like
functional-group descriptor,HeatCapacity,HC,Cat: quaternary_ammonium,0.005656037712469697,192,0.00787892275939265,Cat: quaternary ammonium
