property,abs_log_error,positive_prediction
Density,0.0020323513051927478,True
Density,0.00484755585461194,True
Density,0.004963038589482771,True
Density,0.00048348720496083075,True
Density,0.00040855292818964273,True
Density,0.0002946934399661316,True
Density,0.003350709536928953,True
Density,0.0035128344521861976,True
Density,0.004063977340710068,True
Density,0.008220139995008147,True
Density,0.0014386204612097941,True
Density,0.003599976998612142,True
Density,0.002196444785726115,True
Density,0.02230361592791308,True
Density,0.0020828129771262027,True
Density,0.0027805525874091686,True
Density,0.004749752163161425,True
Density,0.0014648423114911324,True
Density,0.0016040612673338117,True
Density,0.00035793742537837403,True
Density,0.0026412520462448796,True
Density,0.0006885104371923134,True
Density,0.00475505818872346,True
Density,0.003947235169960983,True
Density,0.0011815901596996525,True
Density,0.0014390445986691702,True
Density,0.0022621728466258872,True
Density,0.013122559916967091,True
Density,0.014137314130445944,True
Density,0.00038678352840637586,True
Density,0.0027688202927240724,True
Density,0.006240389451399153,True
Density,0.001301820036652579,True
Density,0.005540469768788192,True
Density,0.00041586013466332616,True
Density,0.002405114108465334,True
Density,0.0012930051956470123,True
Density,0.0002647220957952001,True
Density,0.0009779625224926036,True
Density,0.0037040250385880213,True
Density,0.006598571012737864,True
Density,0.005154974455583883,True
Density,0.002080420155376572,True
Density,0.0020580419043607634,True
Density,0.0001336043340174342,True
Density,0.0015979789467701622,True
Density,0.0033083378656586504,True
Density,0.0017728614608882864,True
Density,0.005397373180897169,True
Density,0.0029110815650064126,True
Density,0.0009203145136558177,True
Density,0.0010942523514412272,True
Density,8.392159595249638e-05,True
Density,0.0024724163580582825,True
Density,0.006838269812448061,True
Density,0.0001550699724646165,True
Density,0.003607168141114947,True
Density,0.0020432958386793487,True
Density,0.0018148541877280877,True
Density,0.0004701613096971258,True
Density,0.0014662468770456627,True
Density,0.0017237399793854635,True
Density,0.004543332599851624,True
Density,0.0023780191726947564,True
Density,0.006223823606151591,True
Density,0.0007401159930955359,True
Density,0.0009079602026051958,True
Density,6.252853398081015e-05,True
Density,0.005399694121348553,True
Density,0.015265058246418661,True
Density,0.008653703173925997,True
Density,0.003201034404072267,True
Density,0.0171274999342792,True
Density,0.006908019057700443,True
Density,0.004498518625526415,True
Density,0.002168192559855342,True
Density,0.00016410868540539525,True
Density,0.001343307011627104,True
Density,0.0028724390335632677,True
Density,0.0012360319043898116,True
Density,0.003996814869219101,True
Density,0.0022372910865744444,True
Density,0.0036292634548811264,True
Density,0.005254676619345311,True
Density,0.00846893970747331,True
Density,0.00028755966853211135,True
Density,0.0030907785258511566,True
Density,0.001166467280898864,True
Density,0.001308430741243427,True
Density,0.0007418909807261898,True
Density,0.005776950649578616,True
Density,0.006702400673470166,True
Density,0.004711238498654957,True
Density,0.00012879043742941576,True
Density,0.0005980185403640093,True
Density,0.000174513525178277,True
Density,0.0022014532311915858,True
Density,0.010009720151400003,True
Density,0.0013257630134431153,True
Density,0.010440746640397514,True
Density,0.0015987211338490681,True
Density,0.001586377868924238,True
Density,0.0005587455450815071,True
Density,0.004837948177265794,True
Density,0.0010351180702601326,True
Density,0.00026897018951821394,True
Density,0.004547615999648258,True
Density,0.003404136878089048,True
Density,0.033975096382262926,True
Density,0.005567949017772911,True
Density,0.002346654913903734,True
Density,0.00039818382526046747,True
Density,0.0020274729720801687,True
Density,0.00042300064625599987,True
Density,0.004045970967527346,True
Density,0.0012321821248990616,True
Density,0.004560023991089679,True
Density,0.00042204609442819674,True
Density,0.003007375275317692,True
Density,0.002446657321466539,True
Density,0.0003743672098712736,True
Density,0.0007729727448815282,True
Density,0.001091028793834603,True
Density,0.0006361073533058814,True
Density,0.004539557423152374,True
Density,0.005809276051691015,True
Density,0.0004552302712754752,True
Density,0.005760175537617762,True
Density,0.005750688459376541,True
Density,0.006707137596712265,True
Density,0.0007945261662118952,True
Density,0.003937201320701078,True
Density,0.0005621841085483581,True
Density,0.0024558123863842596,True
Density,0.004806039280801144,True
Density,0.02618590110730956,True
