Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,363.15,100.0,0.0128,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,368.15,100.0,0.0115,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,373.15,100.0,0.0104,0.0,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,ethyl(2-hydroxyethyl)dimethylammonium,bis{(trifluomethyl)sulfonyl}imide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",283.15,100.0,0.4871,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",288.15,100.0,0.3392,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",293.15,100.0,0.243,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",298.15,100.0,0.1786,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",303.15,100.0,0.1343,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",308.15,100.0,0.1031,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",313.15,100.0,0.0807,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",318.15,100.0,0.0642,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",323.15,100.0,0.0519,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",328.15,100.0,0.0426,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",333.15,100.0,0.0353,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",338.15,100.0,0.0297,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",343.15,100.0,0.0252,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",348.15,100.0,0.0216,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",353.15,100.0,0.0187,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",358.15,100.0,0.0163,0.0,"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide","N-(2-hydroxyethyl)-N,N-dimethylpentanaminium",bis((trifluoromethyl)sulfonyl)amide,,,,parsed;cation=unresolved;anion=unresolved
